source,title,url,date,author,preview,matched_keywords,category
Construction Dive,"JE Dunn launches power generation unit, names leader",https://www.constructiondive.com/news/je-dunn-power-generation-unit-leader/829212/,"Mon, 31 Aug 2026 15:53:12 -0400",Matthew Thibault,"As data centers, onshoring and aging infrastructure create new opportunities, JE Dunn aims to capitalize beyond the 220 power projects already within its portfolio.",data center,
Construction Dive,We need to start tracking buildings like Carfax tracks vehicle histories,https://www.constructiondive.com/news/track-buildings-like-carfax-construction-documentation/829089/,"Mon, 31 Aug 2026 10:14:47 -0400",Trevor Vick,"The two failing columns on a Manhattan adaptive reuse project are emblematic of the lack of continuity in tracking a structure’s entire lifecycle, writes the CEO of a software development firm.",software,
For Construction Pros,Skyjack Launches New Articulating Booms and Scissor Lifts,https://www.forconstructionpros.com/rental/lifting-equipment/article/22962797/skyjack-skyjack-launches-new-articulating-booms-and-scissor-lifts,"Tue, 01 Sep 2026 12:00:00 -0500",For Construction Pros,"*This article is sponsored by Skyjack Skyjack has recently launched all-new articulating booms and scissor lifts that have been designed to meet true jobsite performance expectations and are an ideal choice for a wide range of indoor and outdoor construction, maintenance, and industrial applications. Skyjack’s quality engineered new machines maximize utilization, return on investment, and environm","digital, modular",Jobsite Equipment
For Construction Pros,U.S. Construction Spending Forecast to Reach $2.85 Trillion by 2031,https://www.forconstructionpros.com/business/industry-trends/article/22972750/merlo-america-us-construction-spending-forecast-to-reach-285-trillion-by-2031,"Sun, 30 Aug 2026 11:30:00 -0500",For Construction Pros,"U.S. construction spending is forecast to reach $2.85 trillion by 2031, up from $2.22 trillion in 2026, according to a new report from Merlo America and BiltData.ai. California, Texas, Florida, New York and New Jersey are projected to account for about 42% of total construction spending by 2031. The New York-Newark-Jersey City metropolitan area is expected to lead the nation with $230 billion in s",data center,Business
For Construction Pros,TikTok is Changing Construction’s Image with Gen Z,https://www.forconstructionpros.com/business/labor-workforce-development/article/22972663/the-contractor-consultants-tiktok-is-changing-constructions-image-with-gen-z,"Sun, 30 Aug 2026 07:00:00 -0500",Matt DiBara,"For years, the construction industry had an image problem. Construction was often portrayed as dirty, physically demanding work with little prestige, even though it offered stable careers, entrepreneurship and six-figure earning potential. Young people were told that to be successful you needed a four-year college degree and a desk job. Then something unexpected happened – TikTok. One social media","apprentice, retire, shortage, software, workforce",Business
For Construction Pros,Construction Backlog Falls to 8 Months in July,https://www.forconstructionpros.com/business/industry-trends/article/22972748/associated-builders-and-contractors-inc-abc-construction-backlog-falls-to-8-months-in-july,"Sat, 29 Aug 2026 01:00:00 -0500",For Construction Pros,"Associated Builders and Contractors reported that its Construction Backlog Indicator fell to 8.0 months in July, down 0.8 months from both June and July 2025. Backlog declined across every industry, region and company size. The South was the only region with a higher backlog than a year ago. The data center market continues to stand out. Contractors working on data centers reported an average 11.4","backlog, data center",Business
For Construction Pros,Raising The Pressure With Electric Portable Air Compressors,https://www.forconstructionpros.com/rental/power/air-compressors/article/22972622/hitachi-global-air-power-sullair-air-compressors-electric-portable-air-compressors-benefits-for-construction,"Sat, 29 Aug 2026 04:00:00 -0500",Jerel Cole,"The construction industry is constantly evolving as contractors look for ways to improve productivity, lower operating costs, enhance jobsite safety, and meet increasingly ambitious sustainability goals. One trend that has gained significant momentum in recent years is the shift toward electric construction equipment, driven by technology advances, environmental standards, and operator preferences","digital, workforce",Air Tools & Accessories
For Construction Pros,From the Field to the Front Office: Building an Asphalt Company From the Ground Up,https://www.forconstructionpros.com/business/article/22970870/ecosurface-from-the-field-to-the-front-office-building-an-asphalt-company-from-the-ground-up,"Fri, 28 Aug 2026 09:00:00 -0500",Allyson Sherrier,"At 15 years old, Jake Hoefert wasn't thinking about owning an asphalt company. He was simply trying to earn a paycheck while working for his best friend's father, doing whatever the crew needed — swinging a shovel, cleaning equipment, brooming parking lots and helping with sealcoating jobs. Like many successful contractors, he started at the bottom, learning the business one task at a time. ""I was","digital, estimat, skilled labor, software",Business
Construction Business Owner,Former Maryland Secretary of Labor Named ABC VP of Workforce & Safety Policy,https://www.constructionbusinessowner.com/26678-2/,"Mon, 31 Aug 2026 14:26:37 +0000",Carmen Capoccia,"WASHINGTON (Aug. 31, 2026) — Associated Builders and Contractors (ABC) announced that Tiffany Robinson has joined the association as its vice president of workforce and safety policy. Robinson brings deep experience in executive leadership, workforce development, public policy and infrastructure to ABC. As a member of ABC’s executive leadership team, Robinson will lead research, policy and strateg","apprentice, workforce, workforce develop",
Construction Business Owner,AlignOps FleetWatcher Replaces Paper Truck Tickets,https://www.constructionbusinessowner.com/alignops-fleetwatcher-replaces-paper-truck-tickets/,"Thu, 27 Aug 2026 14:54:44 +0000",Carmen Capoccia,"INDIANAPOLIS (Aug. 27, 2026) — AlignOps FleetWatcher automatically creates Virtual Truck Tickets from truck-based digital work records using dispatch, GPS and shift data. Digitally capturing the data replaces paper truck tickets which can be lost, illegible or incomplete, leading to mistakes like overpayment and unnecessary hauling costs due to time rounding. With visibility across the company, it","digital, software",
Construction Business Owner,AGC: Construction Input Costs Climb as Impacts From War & Tariffs Spread,https://www.constructionbusinessowner.com/agc-construction-input-costs-climb-as-impacts-from-war-tariffs-spread/,"Wed, 26 Aug 2026 14:16:22 +0000",Carmen Capoccia,"Aug. 13, 2026 — The producer price index for inputs to new nonresidential construction rose 7.1% from July 2025 to July 2026 as numerous input prices accelerated to multiyear highs, according to an analysis by the Associated General Contractors of America (AGC) of government data . Association officials called for reduced and stable tariffs for construction inputs, along with prompt enactment of a","bid, craft worker, estimat, refinery, workforce",AGC
Construction Business Owner,Sage Acquires Bangert to Strengthen Onboarding for Sage Intacct Construction,https://www.constructionbusinessowner.com/sage-acquires-bangert-to-strengthen-onboarding-for-sage-intacct-construction/,"Wed, 19 Aug 2026 14:30:56 +0000",admin,"ATLANTA (Aug. 18, 2026) — Sage, provider of accounting, financial, HR and payroll technology for small and midsized businesses (SMBs), has acquired Bangert , a long-standing Sage partner and specialist in AI-enabled implementation and onboarding for construction financial management. The acquisition brings Bangert’s deep construction expertise, implementation methodology and scalable onboarding te",software,Bangert
Construction Business Owner,ABC’s Construction Backlog Indicator Plummets in July,https://www.constructionbusinessowner.com/abcs-construction-backlog-indicator-plummets-in-july/,"Tue, 18 Aug 2026 20:28:38 +0000",Carmen Capoccia,"WASHINGTON (Aug. 11, 2026) — Associated Builders and Contractors (ABC) reported that its Construction Backlog Indicator fell to 8.0 months in July, according to an ABC member survey conducted July 20 to Aug. 4. The reading is down 0.8 months from both a month and year ago. View ABC’s Construction Backlog Indicator and Construction Confidence Index for July. View the full Construction Backlog Indic","backlog, data center",
Construction Business Owner,Kids Trade Cell Phones for Power Tools at 4th Annual TRF Camp Build,https://www.constructionbusinessowner.com/kids-trade-cell-phones-for-power-tools-at-4th-annual-trf-camp-build/,"Tue, 11 Aug 2026 20:09:42 +0000",Carmen Capoccia,"AUSTIN, Texas (Aug. 10, 2026) — The Rosendin Foundation, a dedicated 501(c)(3) nonprofit, wrapped its fourth annual TRF Camp Build after introducing 102 middle school students in five cities to careers in the skilled trades. The free camps ran for a total of 21 days between May and July in McKinney, Texas; Austin, Texas; Huntersville, North Carolina; Sterling, Virginia; and Commerce, California, g","BIM, modular, shortage, workforce",Camp Build
