source,title,url,date,author,preview,matched_keywords,category
Construction Business Owner,All Within My Hands Partners With CNH to Auction Final Hetfield Limited Edition CASE Compact Track Loader,https://www.constructionbusinessowner.com/hetfieldloader/,"Fri, 04 Sep 2026 16:51:25 +0000",CBO Editorial Staff,"SAN RAFAEL, Calif. (Sept. 4, 2026) — Metallica’s foundation, All Within My Hands , is partnering with CASE Construction Equipment , a brand of CNH, to celebrate Labor Day in support of skilled trade education programs. This Labor Day weekend, edition No. 1 of 25 “Hetskid” — The James Hetfield-inspired CASE compact track loader — will be available for bidding via the Purple Wave auction site. “Thes","bid, bidding, workforce",auction
Construction Business Owner,"ABC: Construction Job Openings Up by 28,000 to Near-2-Year High in July",https://www.constructionbusinessowner.com/abc-construction-job-openings-up-by-28000-to-near-2-year-high-in-july/,"Tue, 01 Sep 2026 21:12:33 +0000",Carmen Capoccia,"WASHINGTON (Sept. 1, 2026) — The construction industry had 326,000 job openings on the last day of July, according to an Associated Builders and Contractors (ABC) analysis of data from the U.S. Bureau of Labor Statistics’ Job Openings and Labor Turnover Survey. JOLTS defines a job opening as any unfilled position for which an employer is actively recruiting. Industry job openings increased by 28,0","data center, shortage",ABC
Construction Business Owner,Former Maryland Secretary of Labor Named ABC VP of Workforce & Safety Policy,https://www.constructionbusinessowner.com/26678-2/,"Mon, 31 Aug 2026 14:26:37 +0000",Carmen Capoccia,"WASHINGTON (Aug. 31, 2026) — Associated Builders and Contractors (ABC) announced that Tiffany Robinson has joined the association as its vice president of workforce and safety policy. Robinson brings deep experience in executive leadership, workforce development, public policy and infrastructure to ABC. As a member of ABC’s executive leadership team, Robinson will lead research, policy and strateg","apprentice, workforce, workforce develop",
Construction Business Owner,AlignOps FleetWatcher Replaces Paper Truck Tickets,https://www.constructionbusinessowner.com/alignops-fleetwatcher-replaces-paper-truck-tickets/,"Thu, 27 Aug 2026 14:54:44 +0000",Carmen Capoccia,"INDIANAPOLIS (Aug. 27, 2026) — AlignOps FleetWatcher automatically creates Virtual Truck Tickets from truck-based digital work records using dispatch, GPS and shift data. Digitally capturing the data replaces paper truck tickets which can be lost, illegible or incomplete, leading to mistakes like overpayment and unnecessary hauling costs due to time rounding. With visibility across the company, it","digital, software",
Construction Business Owner,AGC: Construction Input Costs Climb as Impacts From War & Tariffs Spread,https://www.constructionbusinessowner.com/agc-construction-input-costs-climb-as-impacts-from-war-tariffs-spread/,"Wed, 26 Aug 2026 14:16:22 +0000",Carmen Capoccia,"Aug. 13, 2026 — The producer price index for inputs to new nonresidential construction rose 7.1% from July 2025 to July 2026 as numerous input prices accelerated to multiyear highs, according to an analysis by the Associated General Contractors of America (AGC) of government data . Association officials called for reduced and stable tariffs for construction inputs, along with prompt enactment of a","bid, craft worker, estimat, refinery, workforce",AGC
AGC News,"Construction Sheds 3,000 Jobs in August; Gains Are Limited To Homebuilding As Other Contractors Struggle To Fill Both Craft And Salaried Positions",https://www.agc.org/news/2021/09/03/construction-sheds-3000-jobs-august-gains-are-limited-homebuilding-other-contractors,"Fri, 03 Sep 2021 15:08:36 +0000",sophia.valentino@agc.org,"Construction Sheds 3,000 Jobs in August; Gains Are Limited To Homebuilding As Other Contractors Struggle To Fill Both Craft And Salaried Positions Fri, 09/03/2021 - 07:00 sophia.valenti… Fri, 09/03/2021 - 11:08 am Association Officials Urge Congress to Finish Work on Bipartisan Infrastructure Bill to Boost Demand for Nonresidential Construction and Fund Career and Technical Education Programs to A","craft worker, shortage, workforce",
AGC News,Construction Workforce Shortages Reach Pre-pandemic Levels Even as Coronavirus Continues to Impact Projects & Disrupt Supply Chains,https://www.agc.org/news/2021/09/02/construction-workforce-shortages-reach-pre-pandemic-levels-even-coronavirus,"Thu, 02 Sep 2021 13:42:31 +0000",macrina.wilkins@agc.org,"Construction Workforce Shortages Reach Pre-pandemic Levels Even as Coronavirus Continues to Impact Projects & Disrupt Supply Chains Thu, 09/02/2021 - 05:45 macrina.wilkin… Thu, 09/02/2021 - 9:42 am Eighty-Nine Percent of Contractors Are Having a Hard Time Finding Craft Workers, While 88 Percent of Firms Are Experiencing Project Delays and 93 Percent Are Affected by Rising Materials Prices Construc","bid, craft worker, digital, shortage, software, training program, workforce, workforce develop",
AGC News,"Construction Spending Posts Small Increase In July, But Coronavirus, Soaring Costs, And Supply Disruptions Threaten To Erase Further Gains",https://www.agc.org/news/2021/09/01/construction-spending-posts-small-increase-july-coronavirus-soaring-costs-and-supply,"Wed, 01 Sep 2021 16:27:51 +0000",sophia.valentino@agc.org,"Construction Spending Posts Small Increase In July, But Coronavirus, Soaring Costs, And Supply Disruptions Threaten To Erase Further Gains Wed, 09/01/2021 - 08:30 sophia.valenti… Wed, 09/01/2021 - 12:27 pm Construction Officials Note Spending Figures Foreshadow New Data the Association is Releasing Tomorrow Shoring the Ongoing Impacts of the Coronavirus on the Construction Workforce and Demand Tot","workforce, workforce develop",
ConstructConnect Blog,What Should Estimators Do When Product Specifications and Drawings Conflict?,https://www.constructconnect.com/blog/product-specs-and-drawings-conflict,"Mon, 14 Sep 2026 14:51:30 GMT",Maila Kim,In short:,estimat,The Preconstruction Playbook
ConstructConnect Blog,What AI Still Gets Wrong About Preconstruction,https://www.constructconnect.com/blog/what-ai-still-gets-wrong-about-preconstruction,"Mon, 31 Aug 2026 12:38:11 GMT",Maila Kim,"This Q&A is a companion to AI in Preconstruction: Why Rewiring Matters More Than Speed , where Gaurav Singal makes the case for getting the foundation right before chasing AI speed.",preconstruction,Construction AI Technology
ConstructConnect Blog,The Specification Data That Should Drive Your 2027 Plan,https://www.constructconnect.com/blog/the-specification-data-that-should-drive-your-2027-plan,"Fri, 28 Aug 2026 15:47:10 GMT",Deirdre.Pearson@constructconnect.com (Deirdre Pearson),"In short: The Specification Positioning dashboard in ConstructConnect® Analytics shows building product manufacturers (BPMs) exactly where their products are being specified, which architects are driving activity, and where competitors are winning ground. Specification share is the upstream metric for market position: by the time specification decisions surface in bids, the window to influence the","ConstructConnect, bid, estimat",Commercial Construction Data
ConstructConnect Blog,Bid Pipeline Health: 5 Metrics for Commercial GCs in 2026,https://www.constructconnect.com/blog/bid-pipeline-health-commercial-gcs-in-2026,"Fri, 28 Aug 2026 13:00:02 GMT",Maila Kim,In short :,bid,The Preconstruction Playbook
ConstructConnect Blog,Are AI Takeoffs Accurate in 2026? What Estimators Gain and Still Need to Review,https://www.constructconnect.com/blog/are-ai-takeoffs-accurate-in-2026,"Tue, 18 Aug 2026 13:30:02 GMT",Maila Kim,In short:,"AI takeoff, estimat, takeoff",The Preconstruction Playbook
ConstructConnect Blog,AI in Preconstruction: Why Rewiring Matters More Than Speed,https://www.constructconnect.com/blog/why-rewiring-matters-more-than-speed,"Mon, 17 Aug 2026 15:50:18 GMT",Maila Kim,"This article is adapted from “ Most Companies Have AI Tools, But Many Don’t Rewire Themselves for AI, ” originally published in Forbes by Gaurav Singal, Chief Technology Officer at ConstructConnect®.","ConstructConnect, preconstruction",Construction AI Technology
ConstructConnect Blog,Which U.S. Construction Sectors Are Growing Fastest in 2026 — and Where a Full Backlog Hides Risk,https://www.constructconnect.com/blog/which-u.s.-construction-sectors-are-growing-fastest-in-2026-and-where-a-full-backlog-hides-risk,"Fri, 14 Aug 2026 13:57:48 GMT",Daniel Behrendt,"In short: Data centers, power infrastructure, and healthcare lead U.S. construction sector growth in 2026: These three sectors are attracting the strongest contractor demand, with data centers posting a net +57% contractor confidence reading, the highest of any sector tracked in the AGC 2026 Hiring and Business Outlook . The South holds the most active planning pipeline: Over 56% of near-term cons","backlog, data center",The Preconstruction Playbook
MCAA News,Registration Now Open for the 2027 Safety & Health Conference,https://www.mcaa.org/registration-now-open-for-the-2027-safety-health-conference/,"Mon, 14 Sep 2026 14:24:29 +0000",Adrienne,"January 11 – 14, 2027 | South Las Vegas, NV Registration is now open for the 2027 Safety & Health Conference, taking place January 11-14, 2027, at Caesars Palace Las Vegas.&nbsp; Join MCAA, SMACNA, and TAUC for the premier construction safety event of the year, where safety professionals, contractors, association leaders, and industry experts come together to explore the latest challenges, opportu","SMACNA, software, workforce",Uncategorized
MCAA News,MCAA Student Chapter Competition: The Students Need Your Guidance,https://www.mcaa.org/mcaa-student-chapter-competition-the-students-need-your-guidance/,"Mon, 14 Sep 2026 13:00:07 +0000",Adrienne,"The 2026-2027 MCAA Student Chapter Competition was released on September 4, with a surprise project twist: the official release date was moved up a full week. The early release is one of many real-world experiences students will gain during the project, serving as a reminder that success in construction requires teams to be prepared for the unexpected. MCAA extends its sincere appreciation to The ","bid, estimat, mechanical contractor, software",Uncategorized
MCAA News,Beyond the Agenda: The Real Value of the MEP Innovation Conference,https://www.mcaa.org/beyond-the-agenda-the-real-value-of-the-mep-innovation-conference/,"Fri, 11 Sep 2026 19:42:18 +0000",Adrienne,"January 25 – 27, 2027 | Tampa, FL Hosted jointly by MCAA, NECA, and SMACNA The MEP Innovation Conference has built its reputation on strong programming. General sessions feature industry leaders, facility owners, authors, and experts who provide a broader perspective on where the industry is headed. Breakout sessions bring the conversation closer to the jobsite and the office, with contractors sha","SMACNA, software, workforce",Uncategorized
MCAA News,Resource Highlight: MCAA’s Lone Worker Safety Model Program,https://www.mcaa.org/resource-highlight-mcaas-lone-worker-safety-model-program-5/,"Thu, 10 Sep 2026 21:07:14 +0000",Adrienne,Service technicians may work on their own without ready access to assistance. MCAA’s Lone Worker Safety Model Program helps contractors identify risks and hazards and ensure adequate systems are in place to protect those workers. It’s just one of MCAA’s educational resources that are free to MCAA members as a benefit of membership. The model program can be easily tailored to meet each company’s sp,workforce,Uncategorized
MCAA News,November Institute for Project Management – A Few Seats Remain!,https://www.mcaa.org/november-institute-for-project-management-a-few-seats-remain/,"Thu, 10 Sep 2026 20:45:12 +0000",Adrienne,"Due to the overwhelming popularity of the Institute for Project Management (IPM) program, and thanks to the hard work of our dedicated volunteers, MCAA recently announced the addition of IPM courses to our 2026 training calendar. Registration is filling up quicky for this additional fall IPM program, but a few seats still remain! Read on to learn more about this exciting opportunity. What stays th",mechanical contractor,Uncategorized
MCAA News,"Congratulations to Madison Deck, Recipient of the EVAPCO, Inc. Engineering Scholarship",https://www.mcaa.org/congratulations-to-madison-deck-recipient-of-the-evapco-inc-engineering-scholarship/,"Thu, 10 Sep 2026 17:49:12 +0000",Adrienne,"Congratulations to Madison Deck on receiving the EVAPCO, Inc. Engineering Scholarship at MCAA26 during the Awards of Excellence Breakfast in Phoenix, AZ. EVAPCO, Inc. established two $5,000 scholarships designed to recognize and encourage students pursuing degrees in Mechanical Engineering, Civil Engineering, or fields of study relevant to mechanical contracting and equipment manufacturing that su",workforce,Uncategorized
MCAA News,MCAA Celebrates Shannon Paciorek’s Achievement as a Certified Meeting Professional (CMP),https://www.mcaa.org/mcaa-celebrates-shannon-pacioreks-achievement-as-a-certified-meeting-professional-cmp/,"Thu, 10 Sep 2026 17:32:05 +0000",Adrienne,"The Mechanical Contractors Association of America (MCAA) is pleased to announce that Shannon Paciorek, Associate Director of Meetings and Events, has earned her Certified Meeting Professional (CMP) designation. Issued by the Events Industry Council (EIC), the CMP credential is recognized globally as a benchmark of excellence in the meetings and events industry. It is awarded to professionals who h","mechanical contractor, training program",Uncategorized
MCAA News,Committee Service Builds Leaders and Strengthens the Industry,https://www.mcaa.org/committee-service-builds-leaders-and-strengthens-the-industry/,"Thu, 10 Sep 2026 16:00:07 +0000",Adrienne,"Serving on an MCAA national committee is more than a volunteer opportunity. It’s a chance to develop leadership skills, build industry relationships, and help guide initiatives that benefit mechanical contractors nationwide. National committees are instrumental in supporting MCAA programs, initiatives, and leadership development efforts. Committee members help advance the association’s mission whi",mechanical contractor,Uncategorized
MCAA News,JRGF Faculty Continuing Education Grant Offers Summer Field Experience for Purdue Faculty Advisor Ryan Manuel,https://www.mcaa.org/jrgf-faculty-continuing-education-grant-offers-summer-field-experience-for-purdue-faculty-advisor-ryan-manuel/,"Thu, 10 Sep 2026 14:30:51 +0000",Adrienne,"The John R. Gentille Foundation (JRGF) Faculty Continuing Education Grant provided Ryan Manuel, Associate Professor of Practice at Purdue University’s Bowen School of Construction, with an opportunity to spend eight weeks this summer immersed in the operations of MCAA member D.A. Dodd in Indiana. Through the experience, Manuel gained firsthand insight into the company’s growth, culture, and operat","BIM, estimat, mechanical contractor, workforce, workforce develop",Uncategorized
Chemical Engineering,Wison Engineering and Axens collaborating on e-SAF project development,https://www.chemengonline.com/wison-engineering-and-axens-collaborating-on-e-saf-project-development/,"Mon, 14 Sep 2026 17:28:28 +0000",Mary Bailey,"Wison Engineering Ltd. (Shanghai, China) and Axens (Rueil-Malmaison, France) signed a Memorandum of Understanding (MOU) to explore collaboration opportunities on selected e-SAF projects (sustainable aviation fuel, based on Fischer-Tropsch pathway). Through this framework, the two companies will jointly assess practical execution approaches that combine Axens’ process technology expertise and Wison",modular,Sustainability
Chemical Engineering,Samsung E&A wins EPC contract for SABIC Agri-Nutrients’ complex in Saudi Arabia,https://www.chemengonline.com/samsung-ea-wins-epc-contract-for-sabic-agri-nutrients-complex-in-saudi-arabia/,"Fri, 11 Sep 2026 20:22:01 +0000",Mary Bailey,"Samsung E&A Co., Ltd. (Seoul, South Korea) signed an Engineering, Procurement and Construction (EPC) contract with Saudi Arabia’s SABIC Agri-Nutrients Co. (Jubail, Saudi Arabia) for the SAN-7 Project. The contract is worth KRW 4.7 trillion (about USD 3.5 billion), and Samsung E&A will exclusively carry out the EPC, with completion scheduled for 2030. The signing […] The post Samsung E&A wins EPC c",EPC,Chemical Engineering
