source,title,url,date,author,preview,matched_keywords,category
Construction Dive,Caterpillar partners with FieldAI for equipment automation,https://www.constructiondive.com/news/caterpillar-partners-fieldai-equipment-automation/829708/,"Fri, 04 Sep 2026 12:46:15 -0400",Matthew Thibault,The heavy equipment manufacturer will combine its construction industry expertise with the startup’s tech to enable autonomous capabilities for its machines.,automation,
Construction Dive,The Lowe’s Foundation wants to train 1 million craft workers,https://www.constructiondive.com/news/lowes-workforce-training-craft-workers-1-million/829691/,"Fri, 04 Sep 2026 11:26:31 -0400",Matthew Thibault,"The tool and DIY retailer’s foundation has partnered with NVIDIA, General Motors and other U.S. business behemoths to help bolster the construction labor force by 2035.",craft worker,
Construction Dive,Let’s make Labor Day 2026 all about employee ownership,https://www.constructiondive.com/news/labor-day-2026-ESOPs-construction/829568/,"Fri, 04 Sep 2026 10:18:00 -0400",Lana Smith,"ESOPs in construction create an ownership mentality that helps with everything from surfacing new ideas to having other colleagues’ backs, writes Swinerton’s national retirement manager.",retire,
Construction Dive,"Data center employers face acute shortage of skilled workers, report finds",https://www.constructiondive.com/news/data-center-employers-face-acute-shortage-of-skilled-workers/829673/,"Fri, 04 Sep 2026 10:09:00 -0400",Laurel Kalser,"Recruiting from adjacent sectors like telecommunications and utility grid operations can help build a sustainable talent pipeline, Kelly Services said.","data center, shortage",
For Construction Pros,Lightcast Identifies 135 Skilled-Trade Occupations Amid Labor Shortage,https://www.forconstructionpros.com/business/labor-workforce-development/article/22973201/lightcast-lightcast-identifies-135-skilledtrade-occupations-amid-labor-shortage,"Sun, 06 Sep 2026 06:30:00 -0500",For Construction Pros,"Lightcast has identified 135 occupations that meet its new standardized definition of the skilled trades, providing a framework for tracking workforce demand across industries and regions. The report, “ Defining the Skilled Trades: A Data-Driven Blueprint for the Future ,” defines skilled-trade jobs as hands-on, in-person occupations that do not require a four-year degree but typically require spe","apprentice, data center, estimat, retire, shortage, training program, workforce",Business
For Construction Pros,Report Identifies Key Forces Shaping Construction Costs and Schedules,https://www.forconstructionpros.com/business/industry-trends/article/22973112/msi-data-report-identifies-key-forces-shaping-construction-costs-and-schedules,"Sat, 05 Sep 2026 07:00:00 -0500",For Construction Pros,"MOCA Systems Inc. (MSI) has released its Q3 2026 edition of Today’s Construction Economy , identifying power availability, material costs and labor as key factors affecting the U.S. nonresidential construction market. The report points to three major pressures: electric-grid constraints delaying data center projects, tariff-driven material inflation and labor shortages in some regions. Data center","bid, data center, shortage, workforce",Business
For Construction Pros,Volvo CE Expands U.S. Machine Production,https://www.forconstructionpros.com/equipment-management/fleet-news/article/22973105/volvo-construction-equipment-volvo-ce-expands-us-machine-production,"Fri, 04 Sep 2026 08:45:00 -0500",For Construction Pros,"Volvo Construction Equipment (Volvo CE) is expanding machine production at its Shippensburg, Pennsylvania, facility, with more than 50% of its North American machine supply now produced at the plant. The expansion adds 11 models to the facility's production portfolio, including excavators and larger wheel loaders. The company said local production will reduce customer lead times by more than six w",workforce,Business
For Construction Pros,Construction’s Next Tech Shift: From Data to Reality Intelligence,https://www.forconstructionpros.com/business/industry-trends/article/22972652/track3d-constructions-next-tech-shift-from-data-to-reality-intelligence,"Thu, 03 Sep 2026 06:00:00 -0500",Kiran Gutta,"Walk onto almost any major jobsite today and you will see an industry transformed by technology. Superintendents wear 360-degree cameras on their daily walks. Drones capture overhead footage. BIM models coordinate dozens of trades at once. Project management platforms keep tabs on hundreds of activities. By any measure, construction has never documented itself as thoroughly as it does right now. A","BIM, construction technology, digital, estimat, rework",Business
For Construction Pros,Equipment Today Announces 2026 Contractors’ Top 50 New Products Award Winners,https://www.forconstructionpros.com/awards/contractors-top-50/article/22967386/equipment-today-announces-2026-contractors-top-50-new-products-award-winners,"Thu, 03 Sep 2026 05:00:00 -0500",Kathy Wells,"For 16 years, Equipment Today's Contractors’ Top 50 New Products Award has served as the voice of the industry, representing your equipment priorities and preferences when it comes to exploring new market offerings. The annual Contractors’ Top 50 New Products Award is designed to recognize the best new product introductions and enhancements throughout the construction industry, covering products r",workforce,Construction Technology
For Construction Pros,What An Updated Product Category Rule Means For Concrete Contractors,https://www.forconstructionpros.com/concrete/equipment-products/concrete-plants/article/22972695/national-ready-mixed-concrete-association-nrmca-new-concrete-pcr-update-what-contractors-need,"Wed, 02 Sep 2026 04:00:00 -0500",Jonathan Kozlowski,"The idea that concrete contractors are just placing a structural material needs to be encased in a box and trowelled over. It may seem like a straightforward process, but in effect, contractors have to manage a high-tech, highly customized chemical matrix. This introduces new opportunities for sustainability while altering the traditional rules of procurement, jobsite execution, and contract liabi","accuracy, bid, bidding",Concrete Materials
For Construction Pros,Skyjack Launches New Articulating Booms and Scissor Lifts,https://www.forconstructionpros.com/rental/lifting-equipment/article/22962797/skyjack-skyjack-launches-new-articulating-booms-and-scissor-lifts,"Tue, 01 Sep 2026 12:00:00 -0500",For Construction Pros,"*This article is sponsored by Skyjack Skyjack has recently launched all-new articulating booms and scissor lifts that have been designed to meet true jobsite performance expectations and are an ideal choice for a wide range of indoor and outdoor construction, maintenance, and industrial applications. Skyjack’s quality engineered new machines maximize utilization, return on investment, and environm","digital, modular",Jobsite Equipment
Construction Business Owner,All Within My Hands Partners With CNH to Auction Final Hetfield Limited Edition CASE Compact Track Loader,https://www.constructionbusinessowner.com/all-within-my-hands-partners-with-cnh-to-auction-final-hetfield-limited-edition-case-compact-track-loader/,"Fri, 04 Sep 2026 16:51:25 +0000",Carmen Capoccia,"SAN RAFAEL, Calif. (Sept. 4, 2026) — Metallica’s Foundation, All Within My Hands , is partnering with CASE Construction Equipment , a brand of CNH, to celebrate Labor Day in support of skilled trade education programs. This Labor Day weekend, edition No. 1 of 25 “Hetskid” — The James Hetfield-inspired CASE compact track loader — will be available for bidding via the Purple Wave auction site. “Thes","bid, bidding, workforce",auction
Construction Business Owner,"ABC: Construction Job Openings Up by 28,000 to Near-2-Year High in July",https://www.constructionbusinessowner.com/abc-construction-job-openings-up-by-28000-to-near-2-year-high-in-july/,"Tue, 01 Sep 2026 21:12:33 +0000",Carmen Capoccia,"WASHINGTON (Sept. 1, 2026) — The construction industry had 326,000 job openings on the last day of July, according to an Associated Builders and Contractors (ABC) analysis of data from the U.S. Bureau of Labor Statistics’ Job Openings and Labor Turnover Survey. JOLTS defines a job opening as any unfilled position for which an employer is actively recruiting. Industry job openings increased by 28,0","data center, shortage",ABC
