source,title,url,date,author,preview,matched_keywords,category
Construction Dive,Fed raises rates but construction has a bigger problem,https://www.constructiondive.com/news/fed-raises-rates-construction-inflation-september-2026/830559/,"Wed, 16 Sep 2026 14:07:44 -0400",Sebastian Obando,"Higher rates could force owners to delay or outright abandon projects, said Michael Guckes, chief economist at ConstructConnect.",ConstructConnect,
Construction Dive,Construction backlog rebounded in August as more firms won data centers,https://www.constructiondive.com/news/construction-backlog-august-2026-more-data-centers/830552/,"Wed, 16 Sep 2026 12:04:18 -0400",Sebastian Obando,"“Data centers continue to keep contractors busy even as activity softens in other segments,” said Anirban Basu, ABC chief economist.","backlog, data center",
Construction Dive,Data centers are eating up steel. Developers are now looking at timber.,https://www.constructiondive.com/news/data-centers-steel-developers-mass-timber-lumber/830432/,"Wed, 16 Sep 2026 08:03:00 -0400",Sebastian Obando,"Surging steel costs and longer lead times are pushing data center developers to consider alternatives, Skanska executives said during a webinar.",data center,
For Construction Pros,"Construction Job Openings Rise to 326,000 in July",https://www.forconstructionpros.com/business/labor-workforce-development/article/22974093/associated-builders-and-contractors-inc-abc-construction-job-openings-rise-to-326000-in-july,"Thu, 17 Sep 2026 12:00:00 -0500",For Construction Pros,"The construction industry had 326,000 job openings at the end of July, according to an Associated Builders and Contractors analysis of U.S. Bureau of Labor Statistics data. Job openings increased by 28,000 from June and were up 21,000 from July 2025. The construction job opening rate also reached its highest level in nearly two years. Contractor hiring accelerated during the month while layoffs de","data center, shortage",Asphalt
For Construction Pros,Quality Control Doesn't End when Asphalt is Installed,https://www.forconstructionpros.com/asphalt/production/quality-control/article/22971815/asi-paving-inc-quality-control-doesnt-end-when-asphalt-is-installed,"Thu, 17 Sep 2026 09:00:00 -0500",Marc Navetta,"Ten years ago, project quality was largely measured by what happened on the day construction ended: whether the pavement had a smooth surface, properly placed asphalt, acceptable density, strong compaction numbers and clean joints. If a project met specifications and looked good at handoff, it was generally considered a quality job. No one has abandoned that standard. However, today, the conversat","bid, software",Asphalt
For Construction Pros,Nonresidential Construction Spending Edges Up 0.1% in July,https://www.forconstructionpros.com/business/latest-news/article/22973717/associated-builders-and-contractors-inc-abc-nonresidential-construction-spending-edges-up-01-in-july,"Wed, 16 Sep 2026 09:30:00 -0500",For Construction Pros,"National nonresidential construction spending increased 0.1% in July to a seasonally adjusted annual rate of $1.286 trillion, according to an analysis by Associated Builders and Contractors of U.S. Census Bureau data. Private nonresidential construction spending rose 0.4%, while public nonresidential spending declined 0.2%. Spending decreased in eight of 16 nonresidential categories. The increase ",data center,Business
For Construction Pros,Construction AI Connects Project Data to Protect Margins,https://www.forconstructionpros.com/business/business-services/business-management/article/22974075/lupa-technology-construction-ai-connects-project-data-to-protect-margins,"Tue, 15 Sep 2026 01:30:00 -0500",John Braley,"Construction industry studies consistently show that most major projects experience delays, cost overruns, claims, or disputes. The problem is not a lack of information. The problem is that critical evidence is buried across millions of emails, schedules, drawings, RFIs, change orders, site reports, photos and project records that are difficult to connect and analyze before problems become expensi","change order, cost overrun",Asphalt
For Construction Pros,"Work Zone Technology Must Support, Not Replace, Workers",https://www.forconstructionpros.com/business/construction-safety/injury-and-risk-prevention/article/22973590/flagger-force-work-zone-technology-must-support-not-replace-workers,"Tue, 15 Sep 2026 05:00:00 -0500",Mike Doner,"If you have driven through a short-term work zone recently, you have likely encountered equipment such as automated flagger assistance devices, portable temporary rumble strips, dynamic message boards or advanced warning systems. While these devices are not new, they are becoming more common and can provide meaningful safety benefits when applied thoughtfully and in the right environments. In more",automation,Business
For Construction Pros,Construction Delays Often Start Before Electrical Work Begins,https://www.forconstructionpros.com/business/business-services/training-education/article/22973587/arrow-electric-construction-delays-often-start-before-electrical-work-begins,"Sun, 13 Sep 2026 11:15:00 -0500",Veselina Lezginov,"Electrical is the trade everyone blames when a job runs late, even though it's usually the last one to close out and the first one to eat the consequences of everything that happened before it. A panel shows up and doesn't fit. A device gets set in the wrong place. Somebody has to cut into finished drywall to re-pull a circuit that should've been right the first time. None of that is really an ele","BIM, bid, bidding, preconstruction, rework",Business
Construction Business Owner,New Cat Simulators Next Gen Excavator Utilities Package Teaches Operators to Use an Excavator for Utility Servicing,https://www.constructionbusinessowner.com/new-cat-simulators-next-gen-excavator-utilities-package-teaches-operators-to-use-an-excavator-for-utility-servicing/,"Wed, 16 Sep 2026 21:35:53 +0000",Carmen Capoccia,"PEORIA, Ill. (Sept. 9, 2026) — Simformotion LLC, a provider of heavy equipment simulator training solutions, announces the release of the new Cat Simulators Next Gen Excavator Underground Utilities package. This exercise package prepares heavy equipment operators for the challenging and often hazardous tasks involved in underground utility excavation. Set in a realistic construction-site environme","accuracy, software, training program, workforce",Cat Simulators
Construction Business Owner,Dodge Momentum Index Flat in August,https://www.constructionbusinessowner.com/dodge-momentum-index-flat-in-august/,"Wed, 09 Sep 2026 14:04:30 +0000",CBO Editorial Staff,"BOSTON (Sept. 8, 2026) — The Dodge Momentum Index (DMI), issued by Dodge Construction Network, ticked down 0.4% in August to 282.0 (2000=100) from the downwardly revised July reading of 283.0. Over the month, commercial planning declined 3.0% and institutional planning grew 4.9%. “Strength in planning momentum remained relatively broad-based in August,” said Sarah Martin, director of economic rese",data center,data centers
Construction Business Owner,All Within My Hands Partners With CNH to Auction Final Hetfield Limited Edition CASE Compact Track Loader,https://www.constructionbusinessowner.com/hetfieldloader/,"Fri, 04 Sep 2026 16:51:25 +0000",CBO Editorial Staff,"SAN RAFAEL, Calif. (Sept. 4, 2026) — Metallica’s foundation, All Within My Hands , is partnering with CASE Construction Equipment , a brand of CNH, to celebrate Labor Day in support of skilled trade education programs. This Labor Day weekend, edition No. 1 of 25 “Hetskid” — The James Hetfield-inspired CASE compact track loader — will be available for bidding via the Purple Wave auction site. “Thes","bid, bidding, workforce",auction
Construction Business Owner,"ABC: Construction Job Openings Up by 28,000 to Near-2-Year High in July",https://www.constructionbusinessowner.com/abc-construction-job-openings-up-by-28000-to-near-2-year-high-in-july/,"Tue, 01 Sep 2026 21:12:33 +0000",Carmen Capoccia,"WASHINGTON (Sept. 1, 2026) — The construction industry had 326,000 job openings on the last day of July, according to an Associated Builders and Contractors (ABC) analysis of data from the U.S. Bureau of Labor Statistics’ Job Openings and Labor Turnover Survey. JOLTS defines a job opening as any unfilled position for which an employer is actively recruiting. Industry job openings increased by 28,0","data center, shortage",ABC
Construction Business Owner,Former Maryland Secretary of Labor Named ABC VP of Workforce & Safety Policy,https://www.constructionbusinessowner.com/26678-2/,"Mon, 31 Aug 2026 14:26:37 +0000",Carmen Capoccia,"WASHINGTON (Aug. 31, 2026) — Associated Builders and Contractors (ABC) announced that Tiffany Robinson has joined the association as its vice president of workforce and safety policy. Robinson brings deep experience in executive leadership, workforce development, public policy and infrastructure to ABC. As a member of ABC’s executive leadership team, Robinson will lead research, policy and strateg","apprentice, workforce, workforce develop",
Construction Business Owner,AlignOps FleetWatcher Replaces Paper Truck Tickets,https://www.constructionbusinessowner.com/alignops-fleetwatcher-replaces-paper-truck-tickets/,"Thu, 27 Aug 2026 14:54:44 +0000",Carmen Capoccia,"INDIANAPOLIS (Aug. 27, 2026) — AlignOps FleetWatcher automatically creates Virtual Truck Tickets from truck-based digital work records using dispatch, GPS and shift data. Digitally capturing the data replaces paper truck tickets which can be lost, illegible or incomplete, leading to mistakes like overpayment and unnecessary hauling costs due to time rounding. With visibility across the company, it","digital, software",
