source,title,url,date,author,preview,matched_keywords,category
Construction Dive,AECOM picks new chief legal officer,https://www.constructiondive.com/news/aecom-chief-legal-officer-manav-kumar/830949/,"Mon, 21 Sep 2026 16:24:33 -0400",Matthew Thibault,"Manav Kumar, who joined the firm in 2017, will take over the top legal spot as current chief David Gan prepares to retire.",retire,
Construction Dive,"Punch List: Bobbleheads take lunch atop a skyscraper, Turner celebrates 2 stadium upgrades",https://www.constructiondive.com/news/punch-list-bobblehead-museum-turner-stadium-modular/830755/,"Fri, 18 Sep 2026 10:34:00 -0400",Construction Dive Staff,"Plus, Gilbane names a new Arizona chief, and a $1 billion military housing project goes modular.",modular,
For Construction Pros,Skanska Names Antonia Junelind CFO of USA Civil Operations,https://www.forconstructionpros.com/business/labor-workforce-development/article/22974185/skanska-skanska-names-antonia-junelind-cfo-of-usa-civil-operations,"Mon, 21 Sep 2026 10:00:00 -0500",For Construction Pros,"Skanska has appointed Antonia Junelind as chief financial officer of its USA Civil operations, effective Jan. 1, 2027. She will succeed Jari Mäntylä, who will shift his focus to strategic initiatives as he prepares for retirement. The two executives will work together during the transition. Junelind has more than 15 years of experience with Skanska, including roles in finance, investor relations, ",retire,Business
For Construction Pros,Construction Cash Flow Challenges Can Turn Growth into Financial Stress,https://www.forconstructionpros.com/business/business-services/business-management/article/22974078/coastal-debt-resolve-construction-cash-flow-challenges-can-turn-growth-into-financial-stress,"Mon, 21 Sep 2026 06:00:00 -0500",Nathan Mor,"Winning a major construction contract is often viewed as the ultimate measure of success. For specialty contractors, however, securing the work is only the beginning. The greater challenge is financing the project long before the first payment arrives. As Director of Settlement Operations at Coastal Debt Resolve, I've seen a recurring pattern: profitable construction companies struggling not becau","backlog, bid, change order, estimat, shortage",Business
For Construction Pros,Construction Demand Remains Strong but Growth is Concentrated in Key Areas,https://www.forconstructionpros.com/business/industry-trends/article/22974279/skanska-construction-demand-remains-strong-but-growth-is-concentrated-in-key-areas,"Sun, 20 Sep 2026 09:45:00 -0500",For Construction Pros,"Skanska’s Summer 2026 Construction Market Trends Report finds that U.S. construction demand remains stronger than anticipated, but growth is concentrated in sectors including data centers, infrastructure, power generation, advanced manufacturing, pharmaceutical production and select health care markets. Data center construction continues to drive a significant share of growth. Data centers account",data center,Business
For Construction Pros,Why Concrete Contractors Should Care About PERM Reform,https://www.forconstructionpros.com/concrete/slabs-and-flatwork/article/22973989/eb3work-understanding-perm-reform-for-concrete-contractors,"Sun, 20 Sep 2026 04:00:00 -0500",John Dorer,"In the business of pouring concrete, there’s not a lot of room for staffing issues. Once the pour is scheduled, the forms are ready and the trucks are coming, regardless, the crew has to be there. When a job is short on a finisher, laborer, or operator, the contractor is left with few options. It often means that people are pulled from another job and overtime almost assuredly climbs. A job schedu","apprentice, backlog, shortage, turnaround, workforce, workforce develop",Coaching & Consulting
For Construction Pros,Construction Documentation Gaps Can Turn Project Issues into Disputes,https://www.forconstructionpros.com/business/business-services/business-management/article/22974081/newforma-inc-construction-documentation-gaps-can-turn-project-issues-into-disputes,"Sat, 19 Sep 2026 11:30:00 -0500",Carl Veillette,"A subcontractor calls and mentions a wall assembly changed mid-construction. Nobody remembers approving it. The architect says the issued drawings never reflected the change. The general contractor says the approval went out by email back in March. Six months later, everyone's got a confident version of events. Nobody's got a complete record. That's how a manageable project issue turns into a disp","BIM, retire, software",Business
For Construction Pros,Construction Defect Claims: Steps to Prevent Costly Litigation,https://www.forconstructionpros.com/business/business-services/legal-services/article/22974056/chamberlain-hrdlicka-construction-defect-claims-steps-to-prevent-costly-litigation,"Fri, 18 Sep 2026 09:00:00 -0500",Chadd Reynolds,"While parties building a construction project agree that the finished project should be free of defects, complaints nevertheless often arise over the project’s design, workmanship or materials during or after construction. Allegations of defective work can derail the progress of a construction project by shifting precious time and resources away from efforts to complete the project. Not only can t","bid, preconstruction, workforce",Business
For Construction Pros,"Without Further Ado, The Rental 2026 Editor's Choice Award Winners",https://www.forconstructionpros.com/rental/construction/article/22947952/the-rental-2026-editors-choice-award-winners,"Fri, 18 Sep 2026 03:00:00 -0500",Jonathan Kozlowski,"The Rental Editor's Choice Awards were chosen based on submitted nominations and their potential impact on the general tool and equipment rental industry. The entry form requested companies to describe their product and the key features that make it unique for rental businesses. Rental presents the winners below, grouped by category: Equipment, General Tool, Generator & Power Equipment, Lifting Eq","digital, software",Lifting Equipment
For Construction Pros,"Construction Job Openings Rise to 326,000 in July",https://www.forconstructionpros.com/business/labor-workforce-development/article/22974093/associated-builders-and-contractors-inc-abc-construction-job-openings-rise-to-326000-in-july,"Thu, 17 Sep 2026 12:00:00 -0500",For Construction Pros,"The construction industry had 326,000 job openings at the end of July, according to an Associated Builders and Contractors analysis of U.S. Bureau of Labor Statistics data. Job openings increased by 28,000 from June and were up 21,000 from July 2025. The construction job opening rate also reached its highest level in nearly two years. Contractor hiring accelerated during the month while layoffs de","data center, shortage",Asphalt
For Construction Pros,Quality Control Doesn't End when Asphalt is Installed,https://www.forconstructionpros.com/asphalt/production/quality-control/article/22971815/asi-paving-inc-quality-control-doesnt-end-when-asphalt-is-installed,"Thu, 17 Sep 2026 09:00:00 -0500",Marc Navetta,"Ten years ago, project quality was largely measured by what happened on the day construction ended: whether the pavement had a smooth surface, properly placed asphalt, acceptable density, strong compaction numbers and clean joints. If a project met specifications and looked good at handoff, it was generally considered a quality job. No one has abandoned that standard. However, today, the conversat","bid, software",Asphalt
Construction Business Owner,Construction Starts Fall Back 24.8% in August,https://www.constructionbusinessowner.com/27006-2/,"Mon, 21 Sep 2026 18:17:47 +0000",CBO Editorial Staff,"BOSTON (Sept. 21, 2026) — Total construction starts declined 24.8% in August to a seasonally adjusted annual rate of $1.34 trillion, according to Dodge Construction Network . Nonresidential building starts fell 32.0% over the month, residential starts decreased 5.2%, and nonbuilding declined by 26.7%. On a year-to-date basis, total construction starts were up 15.2% through August. Nonresidential s","data center, shortage",construction starts
Construction Business Owner,CNH Construction Announces Kris Dahl Will Succeed Terry Dolan,https://www.constructionbusinessowner.com/cnh-construction-announces-kris-dahl-will-succeed-terry-dolan/,"Mon, 21 Sep 2026 16:13:44 +0000",CBO Editorial Staff,"RACINE, Wis. (Sept. 18, 2026) — CNH Construction announced that Kris Dahl will succeed Terry Dolan leading the North America Commercial business as Dolan prepares for his planned retirement at the end of 2026. Dahl brings 25 years of global experience spanning commercial leadership, operations, technology and product development in the heavy equipment industry. He joins CNH and the CASE Constructi",retire,CASE CE
Construction Business Owner,New Cat Simulators Next Gen Excavator Utilities Package Teaches Operators to Use an Excavator for Utility Servicing,https://www.constructionbusinessowner.com/new-cat-simulators-next-gen-excavator-utilities-package-teaches-operators-to-use-an-excavator-for-utility-servicing/,"Wed, 16 Sep 2026 21:35:53 +0000",CBO Editorial Staff,"PEORIA, Ill. (Sept. 9, 2026) — Simformotion LLC, a provider of heavy equipment simulator training solutions, announces the release of the new Cat Simulators Next Gen Excavator Underground Utilities package. This exercise package prepares heavy equipment operators for the challenging and often hazardous tasks involved in underground utility excavation. Set in a realistic construction-site environme","accuracy, software, training program, workforce",Cat Simulators
Construction Business Owner,Dodge Momentum Index Flat in August,https://www.constructionbusinessowner.com/dodge-momentum-index-flat-in-august/,"Wed, 09 Sep 2026 14:04:30 +0000",CBO Editorial Staff,"BOSTON (Sept. 8, 2026) — The Dodge Momentum Index (DMI), issued by Dodge Construction Network, ticked down 0.4% in August to 282.0 (2000=100) from the downwardly revised July reading of 283.0. Over the month, commercial planning declined 3.0% and institutional planning grew 4.9%. “Strength in planning momentum remained relatively broad-based in August,” said Sarah Martin, director of economic rese",data center,data centers
Construction Business Owner,All Within My Hands Partners With CNH to Auction Final Hetfield Limited Edition CASE Compact Track Loader,https://www.constructionbusinessowner.com/hetfieldloader/,"Fri, 04 Sep 2026 16:51:25 +0000",CBO Editorial Staff,"SAN RAFAEL, Calif. (Sept. 4, 2026) — Metallica’s foundation, All Within My Hands , is partnering with CASE Construction Equipment , a brand of CNH, to celebrate Labor Day in support of skilled trade education programs. This Labor Day weekend, edition No. 1 of 25 “Hetskid” — The James Hetfield-inspired CASE compact track loader — will be available for bidding via the Purple Wave auction site. “Thes","bid, bidding, workforce",auction
Construction Business Owner,"ABC: Construction Job Openings Up by 28,000 to Near-2-Year High in July",https://www.constructionbusinessowner.com/abc-construction-job-openings-up-by-28000-to-near-2-year-high-in-july/,"Tue, 01 Sep 2026 21:12:33 +0000",Carmen Capoccia,"WASHINGTON (Sept. 1, 2026) — The construction industry had 326,000 job openings on the last day of July, according to an Associated Builders and Contractors (ABC) analysis of data from the U.S. Bureau of Labor Statistics’ Job Openings and Labor Turnover Survey. JOLTS defines a job opening as any unfilled position for which an employer is actively recruiting. Industry job openings increased by 28,0","data center, shortage",ABC
Construction Business Owner,Former Maryland Secretary of Labor Named ABC VP of Workforce & Safety Policy,https://www.constructionbusinessowner.com/26678-2/,"Mon, 31 Aug 2026 14:26:37 +0000",Carmen Capoccia,"WASHINGTON (Aug. 31, 2026) — Associated Builders and Contractors (ABC) announced that Tiffany Robinson has joined the association as its vice president of workforce and safety policy. Robinson brings deep experience in executive leadership, workforce development, public policy and infrastructure to ABC. As a member of ABC’s executive leadership team, Robinson will lead research, policy and strateg","apprentice, workforce, workforce develop",
AGC News,"Construction Sheds 3,000 Jobs in August; Gains Are Limited To Homebuilding As Other Contractors Struggle To Fill Both Craft And Salaried Positions",https://www.agc.org/news/2021/09/03/construction-sheds-3000-jobs-august-gains-are-limited-homebuilding-other-contractors,"Fri, 03 Sep 2021 15:08:36 +0000",sophia.valentino@agc.org,"Construction Sheds 3,000 Jobs in August; Gains Are Limited To Homebuilding As Other Contractors Struggle To Fill Both Craft And Salaried Positions Fri, 09/03/2021 - 07:00 sophia.valenti… Fri, 09/03/2021 - 11:08 am Association Officials Urge Congress to Finish Work on Bipartisan Infrastructure Bill to Boost Demand for Nonresidential Construction and Fund Career and Technical Education Programs to A","craft worker, shortage, workforce",
AGC News,Construction Workforce Shortages Reach Pre-pandemic Levels Even as Coronavirus Continues to Impact Projects & Disrupt Supply Chains,https://www.agc.org/news/2021/09/02/construction-workforce-shortages-reach-pre-pandemic-levels-even-coronavirus,"Thu, 02 Sep 2021 13:42:31 +0000",macrina.wilkins@agc.org,"Construction Workforce Shortages Reach Pre-pandemic Levels Even as Coronavirus Continues to Impact Projects & Disrupt Supply Chains Thu, 09/02/2021 - 05:45 macrina.wilkin… Thu, 09/02/2021 - 9:42 am Eighty-Nine Percent of Contractors Are Having a Hard Time Finding Craft Workers, While 88 Percent of Firms Are Experiencing Project Delays and 93 Percent Are Affected by Rising Materials Prices Construc","bid, craft worker, digital, shortage, software, training program, workforce, workforce develop",
AGC News,"Construction Spending Posts Small Increase In July, But Coronavirus, Soaring Costs, And Supply Disruptions Threaten To Erase Further Gains",https://www.agc.org/news/2021/09/01/construction-spending-posts-small-increase-july-coronavirus-soaring-costs-and-supply,"Wed, 01 Sep 2021 16:27:51 +0000",sophia.valentino@agc.org,"Construction Spending Posts Small Increase In July, But Coronavirus, Soaring Costs, And Supply Disruptions Threaten To Erase Further Gains Wed, 09/01/2021 - 08:30 sophia.valenti… Wed, 09/01/2021 - 12:27 pm Construction Officials Note Spending Figures Foreshadow New Data the Association is Releasing Tomorrow Shoring the Ongoing Impacts of the Coronavirus on the Construction Workforce and Demand Tot","workforce, workforce develop",
ConstructConnect Blog,How to Evaluate a Construction Data Platform: A Practical Guide,https://www.constructconnect.com/blog/how-to-evaluate-a-construction-data-platform-a-practical-guide,"Thu, 17 Sep 2026 20:18:18 GMT",johnny.bradigan@constructconnect.com (Johnny Bradigan),"In Short: Evaluate platforms by relevant opportunities, data accuracy, usability, analytics, and workflow fit. Live pilots reveal improvements in research speed, bid decisions, pipeline relevance, and revenue activity. ConstructConnect® Project Intelligence is one platform that combines daily updates, targeted filters, AI tools, dashboards, and integrations.","ConstructConnect, accuracy, bid",Commercial Construction Data
ConstructConnect Blog,How to Find and Bid on Public Construction Projects in 2027,https://www.constructconnect.com/blog/how-to-find-and-bid-on-public-construction-projects-in-2027,"Thu, 17 Sep 2026 15:06:58 GMT",Deirdre.Pearson@constructconnect.com (Deirdre Pearson),"In short: How it works: Bidding on a government construction project means registering as an eligible vendor ( SAM.gov for federal, a separate portal for most state and local work), then submitting a compliant bid through a formal invitation for bid (IFB), request for proposal (RFP), or request for qualifications (RFQ) process. Public budgets move on a different clock than private financing: Gover","bid, bidding",Commercial Construction Data
ConstructConnect Blog,What Should Estimators Do When Product Specifications and Drawings Conflict?,https://www.constructconnect.com/blog/product-specs-and-drawings-conflict,"Mon, 14 Sep 2026 14:51:30 GMT",Maila Kim,In short:,estimat,The Preconstruction Playbook
ConstructConnect Blog,What AI Still Gets Wrong About Preconstruction,https://www.constructconnect.com/blog/what-ai-still-gets-wrong-about-preconstruction,"Mon, 31 Aug 2026 12:38:11 GMT",Maila Kim,"This Q&A is a companion to AI in Preconstruction: Why Rewiring Matters More Than Speed , where Gaurav Singal makes the case for getting the foundation right before chasing AI speed.",preconstruction,Construction AI Technology
ConstructConnect Blog,The Specification Data That Should Drive Your 2027 Plan,https://www.constructconnect.com/blog/the-specification-data-that-should-drive-your-2027-plan,"Fri, 28 Aug 2026 15:47:10 GMT",Deirdre.Pearson@constructconnect.com (Deirdre Pearson),"In short: The Specification Positioning dashboard in ConstructConnect® Analytics shows building product manufacturers (BPMs) exactly where their products are being specified, which architects are driving activity, and where competitors are winning ground. Specification share is the upstream metric for market position: by the time specification decisions surface in bids, the window to influence the","ConstructConnect, bid, estimat",Commercial Construction Data
ConstructConnect Blog,Bid Pipeline Health: 5 Metrics for Commercial GCs in 2026,https://www.constructconnect.com/blog/bid-pipeline-health-commercial-gcs-in-2026,"Fri, 28 Aug 2026 13:00:02 GMT",Maila Kim,In short :,bid,The Preconstruction Playbook
ConstructConnect Blog,Are AI Takeoffs Accurate in 2026? What Estimators Gain and Still Need to Review,https://www.constructconnect.com/blog/are-ai-takeoffs-accurate-in-2026,"Tue, 18 Aug 2026 13:30:02 GMT",Maila Kim,In short:,"AI takeoff, estimat, takeoff",The Preconstruction Playbook
MCAA News,Registration Now Open for the 2027 Safety & Health Conference,https://www.mcaa.org/registration-now-open-for-the-2027-safety-health-conference-2/,"Mon, 21 Sep 2026 17:00:27 +0000",Adrienne,"January 11 – 14, 2027 | South Las Vegas, NV Registration is now open for the 2027 Safety & Health Conference, taking place January 11-14, 2027, at Caesars Palace Las Vegas.&nbsp; Join MCAA, SMACNA, and TAUC for the premier construction safety event of the year, where safety professionals, contractors, association leaders, and industry experts come together to explore the latest challenges, opportu","SMACNA, software, workforce",Uncategorized
MCAA News,The MEP Innovation Conference First Expanded the Box. Now We’re Putting Walls Around It.,https://www.mcaa.org/the-mep-innovation-conference-first-expanded-the-box-now-were-putting-walls-around-it/,"Mon, 21 Sep 2026 16:30:27 +0000",Travis,"January 25 – 27, 2027 | Tampa, FL Hosted jointly by MCAA, NECA, and SMACNA When David Epstein first joined us at the 2020 MEP Innovation Conference, he challenged the way we think about expertise and innovation. His bestselling book “Range” made the case that some of our best ideas come from looking outside our own areas of expertise. People with broader experiences can draw connections across dis","SMACNA, estimat, software",Construction Technology
MCAA News,"MCAA Government Affairs Update for the Week of September 21, 2026: The Latest Developments Impacting Our Industry",https://www.mcaa.org/mcaa-government-affairs-update-for-the-week-of-september-21-2026-the-latest-developments-impacting-our-industry/,"Mon, 21 Sep 2026 14:09:36 +0000",Adrienne,"As part of its ongoing commitment to protecting your livelihood and setting the stage for a bright future, MCAA has secured the services of Longbow Public Policy Group to advise our MCAA Government Affairs Committee (GAC). GAC Chair, Jim Gaffney will be passing along information relative to our industry on a regular basis. On Monday, September 21, 2026, MCAA Lobbying Firm,&nbsp;Longbow Public Poli","MTO, apprentice, bid, data center, estimat, labor hours, shortage, training program",Uncategorized
MCAA News,Registration Opens Soon for the 2027 MCAA Annual Convention,https://www.mcaa.org/registration-opens-soon-for-the-2027-mcaa-annual-convention/,"Mon, 21 Sep 2026 12:00:08 +0000",Adrienne,"Registration for the 2027 MCAA Annual Convention will be opening October 7, and you won’t want to miss the industry’s premier event. Taking place March 7–11, 2027, at the Marriott Marquis San Diego Marina, the Convention will bring together mechanical contractors and industry partners from across the country for five days of education, networking, exhibits, and memorable experiences. The MCAA Annu",mechanical contractor,Uncategorized
MCAA News,Resource Highlight: MCAA’s Radio Frequency Radiation Exposure and Protection Safety Training,https://www.mcaa.org/resource-highlight-mcaas-radio-frequency-radiation-exposure-and-protection-safety-training/,"Fri, 18 Sep 2026 14:00:08 +0000",Adrienne,"Mechanical service technicians frequently work on rooftops and other areas where telecommunications antennas are present, so it’s important that they be aware of the hazards associated with the radio frequency (RF) radiation these antennas emit. MCAA’s Radio Frequency Radiation Exposure and Protection Safety Training educates technicians about these hazards and the steps they can take to avoid ove",workforce,Uncategorized
MCAA News,Everyone Plays a Part in Supporting Internships,https://www.mcaa.org/everyone-plays-a-part-in-supporting-internships/,"Thu, 17 Sep 2026 20:00:08 +0000",Adrienne,"The John R. Gentille Foundation (JRGF) has opened applications for its 2027 Internship Grants, providing funding opportunities for student chapters, employers and affiliated associations working to strengthen the future workforce of the mechanical contracting industry. Student Chapter Internship Grants Student Chapter Internship Grants support chapters that successfully connect students with inter",workforce,Uncategorized
MCAA News,"Congratulations to Cole McClure, Recipient of the Robert T. Armistead Memorial Scholarship",https://www.mcaa.org/congratulations-to-cole-mcclure-recipient-of-the-robert-t-armistead-memorial-scholarship/,"Thu, 17 Sep 2026 17:15:29 +0000",Adrienne,"Congratulations to Cole McClure on receiving one of the Robert T. Armistead Memorial Scholarships at MCAA26 during the Awards of Excellence Breakfast this spring in Phoenix, AZ. Armistead Mechanical, Inc. and Susan Armistead established two $5,000 scholarships to commemorate Robert T. Armistead and honor his memory. These scholarships symbolize Bob Armistead’s leadership, dedication and impact on ",prefab,Uncategorized
MCAA News,"MCAA Highlights Strategies for Safer, More Respectful Workplaces at NAWIC Conference",https://www.mcaa.org/mcaa-highlights-strategies-for-safer-more-respectful-workplaces-at-nawic-conference/,"Thu, 17 Sep 2026 14:07:23 +0000",Adrienne,"The Mechanical Contractors Association of America (MCAA) was proud to participate in the 71st Annual NAWIC Conference, held August 13-15, 2026, in Reno, Nevada, where construction professionals from across the country gathered to share ideas, strengthen connections, and advance opportunities for women in construction. As part of the conference program, Jocelyn Jackson, MCAA’s Director of Affiliate",mechanical contractor,Uncategorized
