source,title,url,date,author,preview,matched_keywords,category
Construction Dive,Analyzing the US data center construction boom,https://www.constructiondive.com/news/analyzing-us-data-center-construction-boom-developers-pipeline-state/829330/,"Wed, 09 Sep 2026 13:49:00 -0400",Sebastian Obando and Jasmine Ye Han,"Construction Dive explores the top developers, the most active construction locations and the overall data center project pipeline.",data center,
Construction Dive,Data center planning cooled in August as other sectors gained ground,https://www.constructiondive.com/news/data-center-planning-august-dodge-momentum-index/829925/,"Wed, 09 Sep 2026 11:50:00 -0400",Sebastian Obando,"Most other sectors posted an acceleration in momentum amid a weaker data center planning environment, according to Dodge Construction Network.",data center,
For Construction Pros,Hands-On At PIPELINE 2026,https://www.forconstructionpros.com/equipment/worksite/electric-tools-and-accessories/article/22973059/milwaukee-tool-corp-handson-at-pipeline-2026,"Wed, 09 Sep 2026 04:00:00 -0500",Jonathan Kozlowski,"Buses full of social media personalities throughout the trades come to a stop. As riders depart, a corridor of employees applauds and welcomes everyone. It’s loud. It’s energy. It’s an intense way to start the morning. This is PIPELINE. This is where Milwaukee Tool makes early announcements ahead of the Fall 2026 to early 2027 2027 tradeshow season, allowing attendees to get close and personal wit",bid,Electric Tools & Accessories
For Construction Pros,Construction Safety Programs Expand Focus to Mental Health,https://www.forconstructionpros.com/business/labor-workforce-development/article/22972901/traffic-plan-construction-safety-programs-expand-focus-to-mental-health,"Tue, 08 Sep 2026 05:00:00 -0500",Barbara Brennan,"I’ve worked in construction safety for most of my adult life. Before I became the Director of Risk and Safety at a traffic control company, I spent years overseeing safety for numerous trades in the field. Construction is what I know. My father and three brothers were plumbers. I grew up around crews, tools, and a culture that teaches you to be tough, to push through and to get the job done no mat",digital,Asphalt
For Construction Pros,Lightcast Identifies 135 Skilled-Trade Occupations Amid Labor Shortage,https://www.forconstructionpros.com/business/labor-workforce-development/article/22973201/lightcast-lightcast-identifies-135-skilledtrade-occupations-amid-labor-shortage,"Sun, 06 Sep 2026 06:30:00 -0500",For Construction Pros,"Lightcast has identified 135 occupations that meet its new standardized definition of the skilled trades, providing a framework for tracking workforce demand across industries and regions. The report, “ Defining the Skilled Trades: A Data-Driven Blueprint for the Future ,” defines skilled-trade jobs as hands-on, in-person occupations that do not require a four-year degree but typically require spe","apprentice, data center, estimat, retire, shortage, training program, workforce",Business
For Construction Pros,Report Identifies Key Forces Shaping Construction Costs and Schedules,https://www.forconstructionpros.com/business/industry-trends/article/22973112/msi-data-report-identifies-key-forces-shaping-construction-costs-and-schedules,"Sat, 05 Sep 2026 07:00:00 -0500",For Construction Pros,"MOCA Systems Inc. (MSI) has released its Q3 2026 edition of Today’s Construction Economy , identifying power availability, material costs and labor as key factors affecting the U.S. nonresidential construction market. The report points to three major pressures: electric-grid constraints delaying data center projects, tariff-driven material inflation and labor shortages in some regions. Data center","bid, data center, shortage, workforce",Business
For Construction Pros,Volvo CE Expands US Machine Production,https://www.forconstructionpros.com/equipment-management/fleet-news/article/22973105/volvo-construction-equipment-volvo-ce-expands-us-machine-production,"Fri, 04 Sep 2026 08:45:00 -0500",For Construction Pros,"Volvo Construction Equipment (Volvo CE) is expanding machine production at its Shippensburg, Pennsylvania, facility, with more than 50% of its North American machine supply now produced at the plant. The expansion adds 11 models to the facility's production portfolio, including excavators and larger wheel loaders. The company said local production will reduce customer lead times by more than six w",workforce,Business
For Construction Pros,Construction’s Next Tech Shift: From Data to Reality Intelligence,https://www.forconstructionpros.com/business/industry-trends/article/22972652/track3d-constructions-next-tech-shift-from-data-to-reality-intelligence,"Thu, 03 Sep 2026 06:00:00 -0500",Kiran Gutta,"Walk onto almost any major jobsite today and you will see an industry transformed by technology. Superintendents wear 360-degree cameras on their daily walks. Drones capture overhead footage. BIM models coordinate dozens of trades at once. Project management platforms keep tabs on hundreds of activities. By any measure, construction has never documented itself as thoroughly as it does right now. A","BIM, construction technology, digital, estimat, rework",Business
For Construction Pros,Equipment Today Announces 2026 Contractors’ Top 50 New Products Award Winners,https://www.forconstructionpros.com/awards/contractors-top-50/article/22967386/equipment-today-announces-2026-contractors-top-50-new-products-award-winners,"Thu, 03 Sep 2026 05:00:00 -0500",Kathy Wells,"For 16 years, Equipment Today's Contractors’ Top 50 New Products Award has served as the voice of the industry, representing your equipment priorities and preferences when it comes to exploring new market offerings. The annual Contractors’ Top 50 New Products Award is designed to recognize the best new product introductions and enhancements throughout the construction industry, covering products r",workforce,Construction Technology
For Construction Pros,What An Updated Product Category Rule Means For Concrete Contractors,https://www.forconstructionpros.com/concrete/equipment-products/concrete-plants/article/22972695/national-ready-mixed-concrete-association-nrmca-new-concrete-pcr-update-what-contractors-need,"Wed, 02 Sep 2026 04:00:00 -0500",Jonathan Kozlowski,"The idea that concrete contractors are just placing a structural material needs to be encased in a box and trowelled over. It may seem like a straightforward process, but in effect, contractors have to manage a high-tech, highly customized chemical matrix. This introduces new opportunities for sustainability while altering the traditional rules of procurement, jobsite execution, and contract liabi","accuracy, bid, bidding",Concrete Materials
